1995,30
1996,32.5
1997,37.2
1998,44
1999,57
2000,68.7
2001,78.1
2002,79.9
2003,77.5
2004,78.2
2005,81.9
2006,88.8
2007,98.6
2008,106.6
2009,100.4
2010,100
2011,99.7
2012,94
2013,89.1
2014,93.7
2015,102.8
2016,116.7
2017,133.1
